职位名称,公司名称,经纬度,jobid,薪资,城市,学历要求,经验要求,公司性质,行业,发布时间,薪资下限(k),薪资上限(k),平均薪资(k),纬度,经度,主城市,区县,学历等级,经验年限
嵌入式工程师助理,宜宾九博信息技术,"['30.586929', '104.083059']",167849007,4-6千,成都-武侯区,本科,1年,民营,电子技术/半导体/集成电路,2025-11-29 09:51:11,4.0,6.0,5.0,30.586929,104.083059,成都,武侯区,4.0,1.0
嵌入式工程师助理,成都安铭汇信息技术,"['30.547993', '104.077834']",167837282,5-8千,成都-武侯区,本科,1年及以上,民营,计算机软件,2025-11-24 11:38:53,5.0,8.0,6.5,30.547993,104.077834,成都,武侯区,4.0,1.0
初级嵌入式开发工程师,成都睿工智能控制技术,"['30.679401', '104.072192']",168841645,6-8千,成都-青羊区,大专,无需经验,民营,建筑/建材/工程,2025-10-24 09:53:33,6.0,8.0,7.0,30.679401,104.072192,成都,青羊区,3.0,0.0
嵌入式开发工程师,成都西加云杉科技,"['30.554107', '104.077616']",161927479,8千-1.5万,成都-高新区,本科,在校生/应届生,民营,计算机软件,2025-12-10 12:53:06,8.0,15.0,11.5,30.554107,104.077616,成都,高新区,4.0,0.0
嵌入式软件工程师,成都佰维存储科技,"['30.554107', '104.077616']",161932137,1.2-2.4万·14薪,成都-高新区,硕士,在校生/应届生,民营,计算机软件,2025-12-10 12:52:49,12.0,24.0,18.0,30.554107,104.077616,成都,高新区,5.0,0.0
嵌入式工程师助理,成都安铭汇信息技术,"['30.645738', '104.110504']",162906697,9千-1.2万,成都-锦江区,大专,无需经验,民营,计算机软件,2025-11-24 11:38:53,9.0,12.0,10.5,30.645738,104.110504,成都,锦江区,3.0,0.0
初级嵌入式开发助理,成都睿工智能控制技术,"['30.679401', '104.072192']",168841697,4-6千,成都-青羊区,大专,无需经验,民营,建筑/建材/工程,2025-10-24 09:54:15,4.0,6.0,5.0,30.679401,104.072192,成都,青羊区,3.0,0.0
嵌入式软件测试工程师,成都摩尔环宇测试技术,"['30.554107', '104.077616']",161919492,5千-1万,成都-高新区,本科,在校生/应届生,民营,计算机软件,2025-12-10 12:53:17,5.0,10.0,7.5,30.554107,104.077616,成都,高新区,4.0,0.0
plc嵌入式软件开发工程师,成都至诚云连通信科技,"['30.685917', '104.150751']",164308469,5-7千,成都-成华区,大专,无需经验,民营,通信/电信/网络设备,2025-12-26 08:54:22,5.0,7.0,6.0,30.685917,104.150751,成都,成华区,3.0,0.0
嵌入式测试,成都融御歆信息技术,"['30.547122', '104.06545']",167452638,5-8千,成都-高新区,本科,无需经验,民营,计算机软件,2025-12-25 18:57:34,5.0,8.0,6.5,30.547122,104.06545,成都,高新区,4.0,0.0
