公司标签,职位名称,公司名称,经纬度,jobid,薪资,城市,学历要求,经验要求,公司性质,行业,发布时间,薪资下限(k),薪资上限(k),平均薪资(k),省份,区域,详细地址,学历等级,经验年限
"['省级工程技术研究中心', '拥有节能环保技术', '国有企业', '央企子公司', '高新技术企业', '创新型中小企业', '专精特新企业', '经营年限全国同行前15%', '绝对控股1家公司', '战略性新兴领域创新能力', '拥有高价值专利', '专利授权量同领域前500', '技术布局行业领先', '拥有绿色低碳技术', '拥有工艺创新能力', '拥有绿色资质', '拥有自主品牌', '大学生就业贡献']",嵌入式软件工程师-成都(J10266),中科芯集成电路,"['0.000000', '0.000000']",167102488,1.2-2万,成都,硕士,在校生/应届生,国企,电子技术/半导体/集成电路,2025-10-20 10:28:30,12.0,20.0,16.0,四川省,成都市,四川省成都市双流区成都芯谷产业园区A9地块1号楼,5.0,0.0
[],嵌入式软件开发4（工作地武汉）,中国船舶集团有限公司第七一〇研究所,"['30.390866', '114.348331']",168094926,1.5-1.6万,武汉-江夏区,硕士,在校生/应届生,事业单位,学术/科研,2025-12-08 17:55:41,15.0,16.0,15.5,湖北省,江夏区,湖北省武汉市江夏区江夏区经济开发区庙山街道阳光三路,5.0,0.0
"['省级工程技术研究中心', '拥有节能环保技术', '国有企业', '央企子公司', '高新技术企业', '创新型中小企业', '专精特新企业', '经营年限全国同行前15%', '绝对控股1家公司', '战略性新兴领域创新能力', '拥有高价值专利', '专利授权量同领域前500', '技术布局行业领先', '拥有绿色低碳技术', '拥有工艺创新能力', '拥有绿色资质', '拥有自主品牌', '大学生就业贡献']",嵌入式硬件工程师-成都(J10265),中科芯集成电路,"['0.000000', '0.000000']",167102579,1.2-2万,成都,硕士,在校生/应届生,国企,电子技术/半导体/集成电路,2025-10-20 10:28:29,12.0,20.0,16.0,四川省,成都市,四川省成都市双流区成都芯谷产业园区A9地块1号楼,5.0,0.0
"['小巨人企业', '高新技术企业', '创新型中小企业', '专精特新企业', '经营年限全国同行前5%', 'B轮融资', '战略性新兴领域创新能力', '拥有高价值专利', '专利授权量同领域前10%', '技术布局行业领先', '拥有自主品牌', '大学生就业贡献']",嵌入式软件工程师（地点：上海）（成都）,苏州顺芯半导体,"['31.186858', '121.43842']",161144177,1.4-2.2万,上海-徐汇区,本科,在校生/应届生,民营,电子技术/半导体/集成电路,2025-12-30 09:05:22,14.0,22.0,18.0,上海市,徐汇区,上海市徐汇区徐家汇街道华谊兄弟时尚(上海)文化传媒有限公司上海电影广场,4.0,0.0
['大学生就业贡献'],plc嵌入式软件开发工程师,成都至诚云连通信科技,"['30.685917', '104.150751']",164308469,5-7千,成都-成华区,大专,无需经验,民营,通信/电信/网络设备,2025-12-31 09:05:29,5.0,7.0,6.0,四川省,成华区,四川省成都市成华区二仙桥街道成华大道十里店路,3.0,0.0
"['国企供应商', '拥有节能环保技术', '高新技术企业', '省级企业技术中心', '省级工程技术研究中心', '经营年限全国同行前15%', '绝对控股3家公司', '战略性新兴领域创新能力', '拥有高价值专利', '专利授权量同领域前500', '技术布局行业领先', '拥有工艺创新能力', '拥有绿色资质', '拥有自主品牌', '旗下品牌同行前40%', '大学生就业贡献']",嵌入式助理工程师（软件&硬件）,昆山丘钛微电子科技,"['31.34106', '120.890399']",168561176,6千-1万,昆山,本科,在校生/应届生,已上市,电子技术/半导体/集成电路,2025-11-16 23:36:00,6.0,10.0,8.0,江苏省,昆山市,江苏省苏州市昆山市玉山镇景欣苑小区8栋,4.0,0.0
"['拥有节能环保技术', '上市企业子公司', '高新技术企业', '国家企业技术中心', '省级工程技术研究中心', '央企供应商', '劳动保障诚信A级', '经营年限全国同行前5%', '深创投投资', '并购融资', '绝对控股5家公司', '市县级政府引导基金投资', '战略性新兴领域创新能力', '拥有高价值专利', '专利授权量同领域前100', '技术布局行业领先', '拥有工艺创新能力', '拥有绿色资质', '拥有自主品牌', '大学生就业贡献']",软件开发（成都）,苏州旭创科技,"['30.766059', '103.906372']",167370431,1.8-3.6万·15薪,成都-高新区,硕士,在校生/应届生,已上市,电子技术/半导体/集成电路,2025-10-09 16:30:45,14.4,28.8,21.6,四川省,郫都区,四川省成都市郫都区合作街道富士康M区,5.0,0.0
[],嵌入式软件开发3（工作地武汉）,中国船舶集团有限公司第七一〇研究所,"['30.390866', '114.348331']",168090429,1.5-1.6万,武汉-江夏区,硕士,在校生/应届生,事业单位,学术/科研,2025-12-08 17:56:23,15.0,16.0,15.5,湖北省,江夏区,湖北省武汉市江夏区江夏区经济开发区庙山街道阳光三路,5.0,0.0
[],嵌入式软件设计师（成都）,中国航空无线电电子研究所,"['30.690852', '103.963028']",168008933,1-2万,成都-青羊区,硕士,在校生/应届生,事业单位,政府/公共事业,2025-12-30 04:38:11,10.0,20.0,15.0,四川省,青羊区,四川省成都市青羊区文家街道同诚路536号4康华社区,5.0,0.0
"['国企供应商', '拥有节能环保技术', '高新技术企业', '省级企业技术中心', '省级工程技术研究中心', '经营年限全国同行前15%', '绝对控股3家公司', '战略性新兴领域创新能力', '拥有高价值专利', '专利授权量同领域前500', '技术布局行业领先', '拥有工艺创新能力', '拥有绿色资质', '拥有自主品牌', '旗下品牌同行前40%', '大学生就业贡献']",算法助理工程师（嵌入式方向）,昆山丘钛微电子科技,"['31.34106', '120.890399']",168561189,6-8千,昆山,本科,在校生/应届生,已上市,电子技术/半导体/集成电路,2025-11-16 23:35:58,6.0,8.0,7.0,江苏省,昆山市,江苏省苏州市昆山市玉山镇景欣苑小区8栋,4.0,0.0
